P03_cam01_P03_cereals	31	150	4
P03_cam01_P03_cereals	151	428	1
P03_cam01_P03_cereals	429	575	2
P03_cam01_P03_cereals	576	705	3
P03_cam01_P03_cereals	706	836	0
P03_cam01_P03_coffee	39	199	6
P03_cam01_P03_coffee	200	378	5
P03_cam01_P03_coffee	379	775	2
P03_cam01_P03_coffee	776	921	0
P03_cam01_P03_friedegg	386	599	10
P03_cam01_P03_friedegg	600	1382	11
P03_cam01_P03_friedegg	1383	4007	13
P03_cam01_P03_friedegg	4008	4123	15
P03_cam01_P03_friedegg	4124	4270	0
P03_cam01_P03_milk	55	229	6
P03_cam01_P03_milk	230	514	24
P03_cam01_P03_milk	515	754	2
P03_cam01_P03_milk	755	1024	25
P03_cam01_P03_milk	1025	1161	0
P03_cam01_P03_salat	484	548	18
P03_cam01_P03_salat	549	703	32
P03_cam01_P03_salat	704	853	4
P03_cam01_P03_salat	854	2633	32
P03_cam01_P03_salat	2634	2960	33
P03_cam01_P03_salat	2961	3310	32
P03_cam01_P03_salat	3311	3740	34
P03_cam01_P03_salat	3741	4110	32
P03_cam01_P03_salat	4111	4200	33
P03_cam01_P03_salat	4201	4375	35
P03_cam01_P03_salat	4376	4453	0
P03_cam01_P03_sandwich	191	260	18
P03_cam01_P03_sandwich	261	552	36
P03_cam01_P03_sandwich	553	652	41
P03_cam01_P03_sandwich	653	1664	37
P03_cam01_P03_sandwich	1665	1763	38
P03_cam01_P03_sandwich	1764	2264	39
P03_cam01_P03_sandwich	2265	2780	38
P03_cam01_P03_sandwich	2781	2939	39
P03_cam01_P03_sandwich	2940	3044	0
P03_cam01_P03_tea	90	239	6
P03_cam01_P03_tea	240	919	45
P03_cam01_P03_tea	920	1174	46
P03_cam01_P03_tea	1175	1314	0
P03_stereo01_P03_cereals	31	150	4
P03_stereo01_P03_cereals	151	428	1
P03_stereo01_P03_cereals	429	575	2
P03_stereo01_P03_cereals	576	705	3
P03_stereo01_P03_cereals	706	836	0
P03_stereo01_P03_coffee	39	199	6
P03_stereo01_P03_coffee	200	378	5
P03_stereo01_P03_coffee	379	775	2
P03_stereo01_P03_coffee	776	921	0
P03_stereo01_P03_milk	55	229	6
P03_stereo01_P03_milk	230	514	24
P03_stereo01_P03_milk	515	754	2
P03_stereo01_P03_milk	755	1024	25
P03_stereo01_P03_milk	1025	1161	0
P03_stereo01_P03_sandwich	191	260	18
P03_stereo01_P03_sandwich	261	552	36
P03_stereo01_P03_sandwich	553	652	41
P03_stereo01_P03_sandwich	653	1664	37
P03_stereo01_P03_sandwich	1665	1763	38
P03_stereo01_P03_sandwich	1764	2264	39
P03_stereo01_P03_sandwich	2265	2780	38
P03_stereo01_P03_sandwich	2781	2939	39
P03_stereo01_P03_sandwich	2940	3044	0
P03_stereo01_P03_tea	90	239	6
P03_stereo01_P03_tea	240	919	45
P03_stereo01_P03_tea	920	1174	46
P03_stereo01_P03_tea	1175	1314	0
P03_webcam01_P03_cereals	31	150	4
P03_webcam01_P03_cereals	151	428	1
P03_webcam01_P03_cereals	429	575	2
P03_webcam01_P03_cereals	576	705	3
P03_webcam01_P03_cereals	706	836	0
P03_webcam01_P03_coffee	39	199	6
P03_webcam01_P03_coffee	200	378	5
P03_webcam01_P03_coffee	379	775	2
P03_webcam01_P03_coffee	776	921	0
P03_webcam01_P03_friedegg	386	599	10
P03_webcam01_P03_friedegg	600	1382	11
P03_webcam01_P03_friedegg	1383	4007	13
P03_webcam01_P03_friedegg	4008	4123	15
P03_webcam01_P03_friedegg	4124	4270	0
P03_webcam01_P03_milk	55	229	6
P03_webcam01_P03_milk	230	514	24
P03_webcam01_P03_milk	515	754	2
P03_webcam01_P03_milk	755	1024	25
P03_webcam01_P03_milk	1025	1161	0
P03_webcam01_P03_salat	484	548	18
P03_webcam01_P03_salat	549	703	32
P03_webcam01_P03_salat	704	853	4
P03_webcam01_P03_salat	854	2633	32
P03_webcam01_P03_salat	2634	2960	33
P03_webcam01_P03_salat	2961	3310	32
P03_webcam01_P03_salat	3311	3740	34
P03_webcam01_P03_salat	3741	4110	32
P03_webcam01_P03_salat	4111	4200	33
P03_webcam01_P03_salat	4201	4375	35
P03_webcam01_P03_salat	4376	4453	0
P03_webcam01_P03_sandwich	191	260	18
P03_webcam01_P03_sandwich	261	552	36
P03_webcam01_P03_sandwich	553	652	41
P03_webcam01_P03_sandwich	653	1664	37
P03_webcam01_P03_sandwich	1665	1763	38
P03_webcam01_P03_sandwich	1764	2264	39
P03_webcam01_P03_sandwich	2265	2780	38
P03_webcam01_P03_sandwich	2781	2939	39
P03_webcam01_P03_sandwich	2940	3044	0
P03_webcam01_P03_tea	90	239	6
P03_webcam01_P03_tea	240	919	45
P03_webcam01_P03_tea	920	1174	46
P03_webcam01_P03_tea	1175	1314	0
P03_webcam02_P03_cereals	31	150	4
P03_webcam02_P03_cereals	151	428	1
P03_webcam02_P03_cereals	429	575	2
P03_webcam02_P03_cereals	576	705	3
P03_webcam02_P03_cereals	706	836	0
P03_webcam02_P03_coffee	39	199	6
P03_webcam02_P03_coffee	200	378	5
P03_webcam02_P03_coffee	379	775	2
P03_webcam02_P03_coffee	776	921	0
P03_webcam02_P03_friedegg	386	599	10
P03_webcam02_P03_friedegg	600	1382	11
P03_webcam02_P03_friedegg	1383	4007	13
P03_webcam02_P03_friedegg	4008	4123	15
P03_webcam02_P03_friedegg	4124	4270	0
P03_webcam02_P03_milk	55	229	6
P03_webcam02_P03_milk	230	514	24
P03_webcam02_P03_milk	515	754	2
P03_webcam02_P03_milk	755	1024	25
P03_webcam02_P03_milk	1025	1161	0
P03_webcam02_P03_salat	484	548	18
P03_webcam02_P03_salat	549	703	32
P03_webcam02_P03_salat	704	853	4
P03_webcam02_P03_salat	854	2633	32
P03_webcam02_P03_salat	2634	2960	33
P03_webcam02_P03_salat	2961	3310	32
P03_webcam02_P03_salat	3311	3740	34
P03_webcam02_P03_salat	3741	4110	32
P03_webcam02_P03_salat	4111	4200	33
P03_webcam02_P03_salat	4201	4375	35
P03_webcam02_P03_salat	4376	4453	0
P03_webcam02_P03_sandwich	191	260	18
P03_webcam02_P03_sandwich	261	552	36
P03_webcam02_P03_sandwich	553	652	41
P03_webcam02_P03_sandwich	653	1664	37
P03_webcam02_P03_sandwich	1665	1763	38
P03_webcam02_P03_sandwich	1764	2264	39
P03_webcam02_P03_sandwich	2265	2780	38
P03_webcam02_P03_sandwich	2781	2939	39
P03_webcam02_P03_sandwich	2940	3044	0
P03_webcam02_P03_tea	90	239	6
P03_webcam02_P03_tea	240	919	45
P03_webcam02_P03_tea	920	1174	46
P03_webcam02_P03_tea	1175	1314	0
P04_cam01_P04_cereals	56	233	1
P04_cam01_P04_cereals	234	405	2
P04_cam01_P04_cereals	406	485	0
P04_cam01_P04_friedegg	2	221	10
P04_cam01_P04_friedegg	222	439	11
P04_cam01_P04_friedegg	440	2995	13
P04_cam01_P04_friedegg	2996	3135	14
P04_cam01_P04_friedegg	3136	3286	15
P04_cam01_P04_friedegg	3287	3361	0
P04_cam01_P04_milk	214	348	24
P04_cam01_P04_milk	349	538	2
P04_cam01_P04_milk	539	668	25
P04_cam01_P04_milk	669	757	0
P04_cam01_P04_pancake	2	95	4
P04_cam01_P04_pancake	96	327	11
P04_cam01_P04_pancake	328	612	26
P04_cam01_P04_pancake	613	790	2
P04_cam01_P04_pancake	791	1873	27
P04_cam01_P04_pancake	1874	2120	10
P04_cam01_P04_pancake	2121	2473	28
P04_cam01_P04_pancake	2474	6379	29
P04_cam01_P04_pancake	6380	6495	14
P04_cam01_P04_pancake	6496	6579	30
P04_cam01_P04_pancake	6580	6696	0
P04_cam01_P04_sandwich	141	230	18
P04_cam01_P04_sandwich	231	530	36
P04_cam01_P04_sandwich	531	1100	37
P04_cam01_P04_sandwich	1101	1340	39
P04_cam01_P04_sandwich	1341	1380	40
P04_cam01_P04_sandwich	1381	1449	0
P04_cam01_P04_scrambledegg	2	143	10
P04_cam01_P04_scrambledegg	144	350	11
P04_cam01_P04_scrambledegg	351	833	42
P04_cam01_P04_scrambledegg	834	963	43
P04_cam01_P04_scrambledegg	964	1452	44
P04_cam01_P04_scrambledegg	1453	1672	12
P04_cam01_P04_scrambledegg	1673	2345	44
P04_cam01_P04_scrambledegg	2346	2464	14
P04_cam01_P04_scrambledegg	2465	2634	15
P04_cam01_P04_scrambledegg	2635	2729	0
P04_cam01_P04_tea	107	201	45
P04_cam01_P04_tea	202	350	46
P04_cam01_P04_tea	351	400	0
P04_stereo01_P04_cereals	56	233	1
P04_stereo01_P04_cereals	234	405	2
P04_stereo01_P04_cereals	406	485	0
P04_stereo01_P04_friedegg	1	220	10
P04_stereo01_P04_friedegg	221	438	11
P04_stereo01_P04_friedegg	439	2994	13
P04_stereo01_P04_friedegg	2995	3134	14
P04_stereo01_P04_friedegg	3135	3285	15
P04_stereo01_P04_friedegg	3286	3361	0
P04_stereo01_P04_milk	214	348	24
P04_stereo01_P04_milk	349	538	2
P04_stereo01_P04_milk	539	668	25
P04_stereo01_P04_milk	669	757	0
P04_stereo01_P04_pancake	2	95	4
P04_stereo01_P04_pancake	96	327	11
P04_stereo01_P04_pancake	328	612	26
P04_stereo01_P04_pancake	613	790	2
P04_stereo01_P04_pancake	791	1873	27
P04_stereo01_P04_pancake	1874	2120	10
P04_stereo01_P04_pancake	2121	2473	28
P04_stereo01_P04_pancake	2474	6379	29
P04_stereo01_P04_pancake	6380	6495	14
P04_stereo01_P04_pancake	6496	6579	30
P04_stereo01_P04_pancake	6580	6696	0
P04_stereo01_P04_sandwich	141	230	18
P04_stereo01_P04_sandwich	231	530	36
P04_stereo01_P04_sandwich	531	1100	37
P04_stereo01_P04_sandwich	1101	1340	39
P04_stereo01_P04_sandwich	1341	1380	40
P04_stereo01_P04_sandwich	1381	1449	0
P04_stereo01_P04_scrambledegg	2	143	10
P04_stereo01_P04_scrambledegg	144	350	11
P04_stereo01_P04_scrambledegg	351	833	42
P04_stereo01_P04_scrambledegg	834	963	43
